Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
02/12/2020 19:33:16.402,2,TAI_400 @B73477,23233,F3FFF8FFF603,-13,-8,1014,
02/12/2020 19:33:16.450,50,TAI_400 @B73477,23239,EDFFFBFFF703,-19,-5,1015,
02/12/2020 19:33:16.500,100,TAI_400 @B73477,23245,ECFFF4FFF603,-20,-12,1014,
02/12/2020 19:33:16.549,148,TAI_400 @B73477,23251,EEFFF2FFFB03,-18,-14,1019,
02/12/2020 19:33:16.597,197,TAI_400 @B73477,23258,F1FFF6FFF803,-15,-10,1016,
02/12/2020 19:33:16.646,245,TAI_400 @B73477,23264,E9FFF2FFF503,-23,-14,1013,
02/12/2020 19:33:16.695,295,TAI_400 @B73477,23270,F4FFF1FFF903,-12,-15,1017,
02/12/2020 19:33:16.744,344,TAI_400 @B73477,23276,F1FFF3FFF403,-15,-13,1012,
02/12/2020 19:33:16.841,441,TAI_400 @B73477,23283,EEFFF7FFF703,-18,-9,1015,
02/12/2020 19:33:16.889,489,TAI_400 @B73477,23289,EFFFF5FFF803,-17,-11,1016,
02/12/2020 19:33:16.938,538,TAI_400 @B73477,23295,ECFFF4FFFA03,-20,-12,1018,
02/12/2020 19:33:16.988,587,TAI_400 @B73477,23301,F0FFFAFFF603,-16,-6,1014,
02/12/2020 19:33:17.039,638,TAI_400 @B73477,23308,F0FFF9FF0204,-16,-7,1026,
02/12/2020 19:33:17.085,685,TAI_400 @B73477,23314,ECFFF9FFFA03,-20,-7,1018,
02/12/2020 19:33:17.133,733,TAI_400 @B73477,23320,F1FFFAFFFA03,-15,-6,1018,
02/12/2020 19:33:17.182,782,TAI_400 @B73477,23326,EDFFF6FFF903,-19,-10,1017,
02/12/2020 19:33:17.231,831,TAI_400 @B73477,23333,F7FFF1FFF703,-9,-15,1015,
02/12/2020 19:33:17.280,879,TAI_400 @B73477,23339,ECFFF2FFF903,-20,-14,1017,
02/12/2020 19:33:17.330,930,TAI_400 @B73477,23345,F1FFF6FFF403,-15,-10,1012,
02/12/2020 19:33:17.377,977,TAI_400 @B73477,23351,F1FFF6FFF703,-15,-10,1015,
02/12/2020 19:33:17.426,1026,TAI_400 @B73477,23358,F1FFF3FFF303,-15,-13,1011,
02/12/2020 19:33:17.475,1075,TAI_400 @B73477,23364,E8FFF1FFF803,-24,-15,1016,
02/12/2020 19:33:17.524,1124,TAI_400 @B73477,23370,F8FFF6FFF703,-8,-10,1015,
02/12/2020 19:33:17.573,1173,TAI_400 @B73477,23376,EEFFF7FFFB03,-18,-9,1019,
02/12/2020 19:33:17.620,1220,TAI_400 @B73477,23383,EFFFF5FFF803,-17,-11,1016,
02/12/2020 19:33:17.671,1271,TAI_400 @B73477,23389,F0FFF6FFF603,-16,-10,1014,
02/12/2020 19:33:17.719,1318,TAI_400 @B73477,23395,F6FFF4FFFD03,-10,-12,1021,
