Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
02/12/2020 19:35:32.610,34,TAI_400 @B73477,40069,EEFFF3FFFC03,-18,-13,1020,
02/12/2020 19:35:32.658,82,TAI_400 @B73477,40075,F8FFF8FFF903,-8,-8,1017,
02/12/2020 19:35:32.707,131,TAI_400 @B73477,40081,F7FFFEFFF403,-9,-2,1012,
02/12/2020 19:35:32.756,180,TAI_400 @B73477,40088,EEFFF7FFF503,-18,-9,1013,
02/12/2020 19:35:32.805,229,TAI_400 @B73477,40094,EFFFF7FFF603,-17,-9,1014,
02/12/2020 19:35:32.853,277,TAI_400 @B73477,40100,F2FFF6FFF803,-14,-10,1016,
02/12/2020 19:35:32.902,326,TAI_400 @B73477,40106,EAFFF5FFF203,-22,-11,1010,
02/12/2020 19:35:32.951,375,TAI_400 @B73477,40113,EBFFF5FFFB03,-21,-11,1019,
02/12/2020 19:35:32.999,423,TAI_400 @B73477,40119,F1FFFBFFFB03,-15,-5,1019,
02/12/2020 19:35:33.048,472,TAI_400 @B73477,40125,F9FFF8FFF903,-7,-8,1017,
02/12/2020 19:35:33.097,521,TAI_400 @B73477,40131,F2FFF8FFF403,-14,-8,1012,
02/12/2020 19:35:33.145,569,TAI_400 @B73477,40138,F3FFF7FFF903,-13,-9,1017,
02/12/2020 19:35:33.196,620,TAI_400 @B73477,40144,EDFFF1FFFE03,-19,-15,1022,
02/12/2020 19:35:33.292,716,TAI_400 @B73477,40150,F0FFF5FF0204,-16,-11,1026,
02/12/2020 19:35:33.341,765,TAI_400 @B73477,40156,EFFFF5FFFA03,-17,-11,1018,
02/12/2020 19:35:33.390,814,TAI_400 @B73477,40163,F4FFFBFFFE03,-12,-5,1022,
02/12/2020 19:35:33.439,863,TAI_400 @B73477,40169,F3FFF7FFFB03,-13,-9,1019,
02/12/2020 19:35:33.489,913,TAI_400 @B73477,40175,EFFFF4FFFB03,-17,-12,1019,
02/12/2020 19:35:33.535,959,TAI_400 @B73477,40181,F7FFF6FFF703,-9,-10,1015,
02/12/2020 19:35:33.585,1009,TAI_400 @B73477,40188,F3FFF7FFF703,-13,-9,1015,
02/12/2020 19:35:33.633,1057,TAI_400 @B73477,40194,EFFFF9FFF703,-17,-7,1015,
02/12/2020 19:35:33.682,1106,TAI_400 @B73477,40200,F3FFF8FFFA03,-13,-8,1018,
02/12/2020 19:35:33.731,1155,TAI_400 @B73477,40206,F2FFF7FFF603,-14,-9,1014,
02/12/2020 19:35:33.782,1206,TAI_400 @B73477,40213,F5FFF6FFFA03,-11,-10,1018,
02/12/2020 19:35:33.831,1255,TAI_400 @B73477,40219,ECFFF2FFF703,-20,-14,1015,
02/12/2020 19:35:33.880,1304,TAI_400 @B73477,40225,F2FFF4FFF203,-14,-12,1010,
02/12/2020 19:35:33.926,1350,TAI_400 @B73477,40231,EFFFF5FFFF03,-17,-11,1023,
02/12/2020 19:35:33.974,1398,TAI_400 @B73477,40238,F1FFFBFFF803,-15,-5,1016,
02/12/2020 19:35:34.023,1447,TAI_400 @B73477,40244,EDFFF8FFFA03,-19,-8,1018,
02/12/2020 19:35:34.072,1496,TAI_400 @B73477,40250,F6FFFAFFFA03,-10,-6,1018,
02/12/2020 19:35:34.120,1544,TAI_400 @B73477,40256,F2FFF8FFFE03,-14,-8,1022,
02/12/2020 19:35:34.170,1593,TAI_400 @B73477,40263,EEFFF3FFF903,-18,-13,1017,
02/12/2020 19:35:34.218,1642,TAI_400 @B73477,40269,F2FFF8FFF803,-14,-8,1016,
02/12/2020 19:35:34.267,1691,TAI_400 @B73477,40275,F0FFF2FFF803,-16,-14,1016,
02/12/2020 19:35:34.315,1739,TAI_400 @B73477,40281,EFFFF2FFF603,-17,-14,1014,
02/12/2020 19:35:34.413,1837,TAI_400 @B73477,40288,F0FFF5FFF803,-16,-11,1016,
02/12/2020 19:35:34.463,1887,TAI_400 @B73477,40294,F0FFF6FFF603,-16,-10,1014,
02/12/2020 19:35:34.511,1935,TAI_400 @B73477,40300,F5FFF5FFF303,-11,-11,1011,
02/12/2020 19:35:34.560,1984,TAI_400 @B73477,40306,EFFFF6FFF903,-17,-10,1017,
02/12/2020 19:35:34.608,2031,TAI_400 @B73477,40313,EDFFF2FF0504,-19,-14,1029,
02/12/2020 19:35:34.657,2081,TAI_400 @B73477,40319,EEFFF9FFFE03,-18,-7,1022,
02/12/2020 19:35:34.706,2130,TAI_400 @B73477,40325,F4FFFCFFF303,-12,-4,1011,
02/12/2020 19:35:34.755,2179,TAI_400 @B73477,40331,F4FFF7FFF603,-12,-9,1014,
