,Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),Unnamed: 8
0,02/12/2020 19:45:19.608,18,TAI_400 @B73477,112558,C01B61158655,7104,5473,21894,
1,02/12/2020 19:45:19.657,67,TAI_400 @B73477,112564,D31B48157A55,7123,5448,21882,
2,02/12/2020 19:45:19.705,115,TAI_400 @B73477,112570,BE1B52157A55,7102,5458,21882,
3,02/12/2020 19:45:19.754,164,TAI_400 @B73477,112577,911B51156C55,7057,5457,21868,
4,02/12/2020 19:45:19.803,213,TAI_400 @B73477,112583,CC1B4F158155,7116,5455,21889,
5,02/12/2020 19:45:19.852,262,TAI_400 @B73477,112589,C01B60157B55,7104,5472,21883,
6,02/12/2020 19:45:19.900,310,TAI_400 @B73477,112595,DB1B49158155,7131,5449,21889,
7,02/12/2020 19:45:19.950,360,TAI_400 @B73477,112602,C91B55157755,7113,5461,21879,
8,02/12/2020 19:45:19.999,409,TAI_400 @B73477,112608,901B58156E55,7056,5464,21870,
9,02/12/2020 19:45:20.048,458,TAI_400 @B73477,112614,C11B51157455,7105,5457,21876,
10,02/12/2020 19:45:20.096,506,TAI_400 @B73477,112620,BE1B5E158355,7102,5470,21891,
11,02/12/2020 19:45:20.144,554,TAI_400 @B73477,112627,E51B46157D55,7141,5446,21885,
12,02/12/2020 19:45:20.194,604,TAI_400 @B73477,112633,CF1B52156E55,7119,5458,21870,
13,02/12/2020 19:45:20.242,652,TAI_400 @B73477,112639,961B4E156F55,7062,5454,21871,
14,02/12/2020 19:45:20.290,700,TAI_400 @B73477,112645,BE1B48157B55,7102,5448,21883,
15,02/12/2020 19:45:20.339,750,TAI_400 @B73477,112652,CC1B6A157555,7116,5482,21877,
16,02/12/2020 19:45:20.389,799,TAI_400 @B73477,112658,E81B4E158055,7144,5454,21888,
17,02/12/2020 19:45:20.438,848,TAI_400 @B73477,112664,D91B51156E55,7129,5457,21870,
18,02/12/2020 19:45:20.486,896,TAI_400 @B73477,112670,A01B51157555,7072,5457,21877,
19,02/12/2020 19:45:20.584,994,TAI_400 @B73477,112677,C01B4F157755,7104,5455,21879,
20,02/12/2020 19:45:20.633,1043,TAI_400 @B73477,112683,C61B67157855,7110,5479,21880,
21,02/12/2020 19:45:20.682,1092,TAI_400 @B73477,112689,DE1B4C158355,7134,5452,21891,
22,02/12/2020 19:45:20.730,1140,TAI_400 @B73477,112695,E21B5E157555,7138,5470,21877,
