,Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),Unnamed: 8
0,02/12/2020 19:42:57.062,11,TAI_400 @B73477,94965,F0FFF7FFF603,-16,-9,1014,
1,02/12/2020 19:42:57.111,60,TAI_400 @B73477,94971,EDFFF5FFFB03,-19,-11,1019,
2,02/12/2020 19:42:57.160,109,TAI_400 @B73477,94977,F0FFF5FFF703,-16,-11,1015,
3,02/12/2020 19:42:57.209,158,TAI_400 @B73477,94984,F1FFFAFFFF03,-15,-6,1023,
4,02/12/2020 19:42:57.257,206,TAI_400 @B73477,94990,F0FFF7FFF403,-16,-9,1012,
5,02/12/2020 19:42:57.307,256,TAI_400 @B73477,94996,EFFFF6FFFC03,-17,-10,1020,
6,02/12/2020 19:42:57.356,305,TAI_400 @B73477,95002,EFFFFAFFFA03,-17,-6,1018,
7,02/12/2020 19:42:57.405,354,TAI_400 @B73477,95009,F2FFFDFFF903,-14,-3,1017,
8,02/12/2020 19:42:57.454,402,TAI_400 @B73477,95015,F1FFFFFFF903,-15,-1,1017,
9,02/12/2020 19:42:57.503,451,TAI_400 @B73477,95021,F0FFFBFFF803,-16,-5,1016,
10,02/12/2020 19:42:57.599,548,TAI_400 @B73477,95027,F2FFF9FFF803,-14,-7,1016,
11,02/12/2020 19:42:57.648,597,TAI_400 @B73477,95034,EDFFF9FFFA03,-19,-7,1018,
12,02/12/2020 19:42:57.697,646,TAI_400 @B73477,95040,EEFFFAFFF903,-18,-6,1017,
13,02/12/2020 19:42:57.745,694,TAI_400 @B73477,95046,F0FFF6FFF603,-16,-10,1014,
14,02/12/2020 19:42:57.794,743,TAI_400 @B73477,95052,F1FFF5FFF803,-15,-11,1016,
15,02/12/2020 19:42:57.843,792,TAI_400 @B73477,95059,EFFFF3FFFB03,-17,-13,1019,
16,02/12/2020 19:42:57.892,841,TAI_400 @B73477,95065,F1FFF5FFFD03,-15,-11,1021,
17,02/12/2020 19:42:57.941,890,TAI_400 @B73477,95071,F4FFF6FFFC03,-12,-10,1020,
18,02/12/2020 19:42:57.991,939,TAI_400 @B73477,95077,EBFFF8FFF803,-21,-8,1016,
19,02/12/2020 19:42:58.039,988,TAI_400 @B73477,95084,EFFFF7FFF503,-17,-9,1013,
20,02/12/2020 19:42:58.088,1037,TAI_400 @B73477,95090,F1FFF3FFF803,-15,-13,1016,
21,02/12/2020 19:42:58.136,1085,TAI_400 @B73477,95096,F4FFF6FFFA03,-12,-10,1018,
22,02/12/2020 19:42:58.185,1133,TAI_400 @B73477,95102,F6FFF2FFF603,-10,-14,1014,
23,02/12/2020 19:42:58.233,1182,TAI_400 @B73477,95109,F5FFF8FFF503,-11,-8,1013,
24,02/12/2020 19:42:58.282,1231,TAI_400 @B73477,95115,EEFFF9FFF503,-18,-7,1013,
25,02/12/2020 19:42:58.331,1280,TAI_400 @B73477,95121,EEFFF7FFFB03,-18,-9,1019,
26,02/12/2020 19:42:58.380,1329,TAI_400 @B73477,95127,EFFFFAFFF503,-17,-6,1013,
27,02/12/2020 19:42:58.429,1378,TAI_400 @B73477,95134,F0FFF7FFF803,-16,-9,1016,
28,02/12/2020 19:42:58.477,1426,TAI_400 @B73477,95140,EBFFF7FFF803,-21,-9,1016,
29,02/12/2020 19:42:58.526,1475,TAI_400 @B73477,95146,F3FFF6FFF703,-13,-10,1015,
30,02/12/2020 19:42:58.575,1524,TAI_400 @B73477,95152,EDFFF7FFF303,-19,-9,1011,
31,02/12/2020 19:42:58.623,1572,TAI_400 @B73477,95159,F2FFF9FFF503,-14,-7,1013,
32,02/12/2020 19:42:58.672,1621,TAI_400 @B73477,95165,F0FFF5FFFA03,-16,-11,1018,
33,02/12/2020 19:42:58.769,1718,TAI_400 @B73477,95171,EDFFF6FFFA03,-19,-10,1018,
34,02/12/2020 19:42:58.818,1767,TAI_400 @B73477,95177,F8FFFAFFF503,-8,-6,1013,
35,02/12/2020 19:42:58.867,1816,TAI_400 @B73477,95184,F7FFF4FFF703,-9,-12,1015,
36,02/12/2020 19:42:58.916,1865,TAI_400 @B73477,95190,F6FFF5FFF603,-10,-11,1014,
