Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
26/11/2020 08:44:27.200,25,TAI_400 @B73477,30976,2600E6FFF103,38,-26,1009,
26/11/2020 08:44:27.249,74,TAI_400 @B73477,30982,1800F2FF0604,24,-14,1030,
26/11/2020 08:44:27.299,124,TAI_400 @B73477,30989,2300F4FFEF03,35,-12,1007,
26/11/2020 08:44:27.347,172,TAI_400 @B73477,30995,2700F9FF0004,39,-7,1024,
26/11/2020 08:44:27.396,221,TAI_400 @B73477,31001,22000000F703,34,0,1015,
26/11/2020 08:44:27.444,269,TAI_400 @B73477,31007,1C00F9FFED03,28,-7,1005,
26/11/2020 08:44:27.493,318,TAI_400 @B73477,31014,1F00F5FFFA03,31,-11,1018,
26/11/2020 08:44:27.542,367,TAI_400 @B73477,31020,23000900F903,35,9,1017,
26/11/2020 08:44:27.590,415,TAI_400 @B73477,31026,2100FCFFF003,33,-4,1008,
26/11/2020 08:44:27.640,465,TAI_400 @B73477,31032,2400F7FFFC03,36,-9,1020,
26/11/2020 08:44:27.739,564,TAI_400 @B73477,31039,2200F4FFFB03,34,-12,1019,
26/11/2020 08:44:27.786,611,TAI_400 @B73477,31045,20000000FD03,32,0,1021,
26/11/2020 08:44:27.834,659,TAI_400 @B73477,31051,27000100F403,39,1,1012,
26/11/2020 08:44:27.883,708,TAI_400 @B73477,31057,3200F4FFFD03,50,-12,1021,
26/11/2020 08:44:27.932,757,TAI_400 @B73477,31064,1C00FDFFF803,28,-3,1016,
26/11/2020 08:44:27.981,806,TAI_400 @B73477,31070,1D00F5FFF703,29,-11,1015,
26/11/2020 08:44:28.030,855,TAI_400 @B73477,31076,1E00F2FFFD03,30,-14,1021,
26/11/2020 08:44:28.078,903,TAI_400 @B73477,31082,2500F9FFF403,37,-7,1012,
26/11/2020 08:44:28.127,952,TAI_400 @B73477,31089,1B00F5FFFC03,27,-11,1020,
26/11/2020 08:44:28.175,1000,TAI_400 @B73477,31095,1A000000F703,26,0,1015,
26/11/2020 08:44:28.224,1049,TAI_400 @B73477,31101,1D00FBFF0404,29,-5,1028,
26/11/2020 08:44:28.273,1098,TAI_400 @B73477,31107,2500FCFFF903,37,-4,1017,
26/11/2020 08:44:28.323,1148,TAI_400 @B73477,31114,1F00F8FFFC03,31,-8,1020,
26/11/2020 08:44:28.371,1196,TAI_400 @B73477,31120,2500F7FFFA03,37,-9,1018,
26/11/2020 08:44:28.419,1244,TAI_400 @B73477,31126,2600FAFFF903,38,-6,1017,
26/11/2020 08:44:28.469,1294,TAI_400 @B73477,31132,2200FEFFF103,34,-2,1009,
26/11/2020 08:44:28.517,1342,TAI_400 @B73477,31139,2200FFFFF503,34,-1,1013,
26/11/2020 08:44:28.566,1391,TAI_400 @B73477,31145,1C00F1FFFA03,28,-15,1018,
26/11/2020 08:44:28.614,1439,TAI_400 @B73477,31151,2500F5FFF503,37,-11,1013,
26/11/2020 08:44:28.663,1488,TAI_400 @B73477,31157,2100FAFFF503,33,-6,1013,
26/11/2020 08:44:28.712,1537,TAI_400 @B73477,31164,2500FCFFFA03,37,-4,1018,
26/11/2020 08:44:28.760,1585,TAI_400 @B73477,31170,2500FBFFF303,37,-5,1011,
