Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
26/11/2020 08:44:27.200,25,TAI_400 @B73477,30976,721B0417D653,7026,5892,21462,
26/11/2020 08:44:27.250,75,TAI_400 @B73477,30982,871BF916DF53,7047,5881,21471,
26/11/2020 08:44:27.299,124,TAI_400 @B73477,30989,931B0D17D953,7059,5901,21465,
26/11/2020 08:44:27.347,172,TAI_400 @B73477,30995,821BFB16DD53,7042,5883,21469,
26/11/2020 08:44:27.396,221,TAI_400 @B73477,31001,701BFB16D753,7024,5883,21463,
26/11/2020 08:44:27.444,269,TAI_400 @B73477,31007,931BFE16D753,7059,5886,21463,
26/11/2020 08:44:27.493,318,TAI_400 @B73477,31014,731BFB16D753,7027,5883,21463,
26/11/2020 08:44:27.542,367,TAI_400 @B73477,31020,601B1317DD53,7008,5907,21469,
26/11/2020 08:44:27.590,415,TAI_400 @B73477,31026,7C1B0517D153,7036,5893,21457,
26/11/2020 08:44:27.640,465,TAI_400 @B73477,31032,581B0A17E253,7000,5898,21474,
26/11/2020 08:44:27.739,564,TAI_400 @B73477,31039,6F1B1617D153,7023,5910,21457,
26/11/2020 08:44:27.786,611,TAI_400 @B73477,31045,811BF916D353,7041,5881,21459,
26/11/2020 08:44:27.835,660,TAI_400 @B73477,31051,731BF916DC53,7027,5881,21468,
26/11/2020 08:44:27.883,708,TAI_400 @B73477,31057,841B0417DC53,7044,5892,21468,
26/11/2020 08:44:27.932,758,TAI_400 @B73477,31064,871BFF16D153,7047,5887,21457,
26/11/2020 08:44:27.981,806,TAI_400 @B73477,31070,7F1BFC16E253,7039,5884,21474,
26/11/2020 08:44:28.030,855,TAI_400 @B73477,31076,A21B0517D753,7074,5893,21463,
26/11/2020 08:44:28.078,903,TAI_400 @B73477,31082,6C1BFF16D953,7020,5887,21465,
26/11/2020 08:44:28.127,952,TAI_400 @B73477,31089,611B0B17DC53,7009,5899,21468,
26/11/2020 08:44:28.175,1000,TAI_400 @B73477,31095,7B1B0817D953,7035,5896,21465,
26/11/2020 08:44:28.224,1049,TAI_400 @B73477,31101,701B0817DC53,7024,5896,21468,
26/11/2020 08:44:28.273,1098,TAI_400 @B73477,31107,641B0A17D453,7012,5898,21460,
26/11/2020 08:44:28.323,1148,TAI_400 @B73477,31114,871B0217D153,7047,5890,21457,
26/11/2020 08:44:28.371,1196,TAI_400 @B73477,31120,7B1BF916D753,7035,5881,21463,
26/11/2020 08:44:28.419,1244,TAI_400 @B73477,31126,8B1B0817DC53,7051,5896,21468,
26/11/2020 08:44:28.470,1295,TAI_400 @B73477,31132,751B0217DC53,7029,5890,21468,
26/11/2020 08:44:28.517,1342,TAI_400 @B73477,31139,781BF816E253,7032,5880,21474,
26/11/2020 08:44:28.566,1391,TAI_400 @B73477,31145,8D1B0B17D653,7053,5899,21462,
26/11/2020 08:44:28.614,1439,TAI_400 @B73477,31151,701BFE16D453,7024,5886,21460,
26/11/2020 08:44:28.663,1488,TAI_400 @B73477,31157,5A1B0D17DD53,7002,5901,21469,
26/11/2020 08:44:28.712,1537,TAI_400 @B73477,31164,8E1B0517CE53,7054,5893,21454,
26/11/2020 08:44:28.760,1585,TAI_400 @B73477,31170,581B0117DF53,7000,5889,21471,
26/11/2020 08:44:28.858,1683,TAI_400 @B73477,31176,631BFF16D453,7011,5887,21460,
26/11/2020 08:44:28.907,1732,TAI_400 @B73477,31182,8D1BF516D053,7053,5877,21456,
26/11/2020 08:44:28.955,1781,TAI_400 @B73477,31189,751BF016E053,7029,5872,21472,
26/11/2020 08:44:29.005,1830,TAI_400 @B73477,31195,851B0A17DA53,7045,5898,21466,
26/11/2020 08:44:29.053,1878,TAI_400 @B73477,31201,761B0817D153,7030,5896,21457,
26/11/2020 08:44:29.103,1928,TAI_400 @B73477,31207,731BF816E253,7027,5880,21474,
26/11/2020 08:44:29.150,1975,TAI_400 @B73477,31214,7E1B0817D453,7038,5896,21460,
26/11/2020 08:44:29.201,2026,TAI_400 @B73477,31220,6A1B0517DA53,7018,5893,21466,
26/11/2020 08:44:29.248,2073,TAI_400 @B73477,31226,5E1B0817D753,7006,5896,21463,
26/11/2020 08:44:29.297,2122,TAI_400 @B73477,31232,9C1BFE16D353,7068,5886,21459,
26/11/2020 08:44:29.346,2171,TAI_400 @B73477,31239,881BFB16DD53,7048,5883,21469,
26/11/2020 08:44:29.395,2220,TAI_400 @B73477,31245,691B0217D953,7017,5890,21465,
26/11/2020 08:44:29.443,2268,TAI_400 @B73477,31251,9A1BF916D753,7066,5881,21463,
26/11/2020 08:44:29.492,2317,TAI_400 @B73477,31257,7B1BFE16D753,7035,5886,21463,
26/11/2020 08:44:29.541,2366,TAI_400 @B73477,31264,6F1B1117DD53,7023,5905,21469,
26/11/2020 08:44:29.589,2414,TAI_400 @B73477,31270,781B0717D753,7032,5895,21463,
26/11/2020 08:44:29.638,2463,TAI_400 @B73477,31276,7B1BFC16E653,7035,5884,21478,
26/11/2020 08:44:29.688,2513,TAI_400 @B73477,31282,781B1317DA53,7032,5907,21466,
26/11/2020 08:44:29.736,2561,TAI_400 @B73477,31289,731BFF16D453,7027,5887,21460,
26/11/2020 08:44:29.784,2609,TAI_400 @B73477,31295,671BFE16DA53,7015,5886,21466,
26/11/2020 08:44:29.833,2658,TAI_400 @B73477,31301,8D1BFF16D053,7053,5887,21456,
26/11/2020 08:44:29.882,2707,TAI_400 @B73477,31307,7C1BF616D753,7036,5878,21463,
26/11/2020 08:44:29.931,2756,TAI_400 @B73477,31314,701BFF16D653,7024,5887,21462,
26/11/2020 08:44:30.029,2854,TAI_400 @B73477,31320,A21BFB16D353,7074,5883,21459,
26/11/2020 08:44:30.077,2902,TAI_400 @B73477,31326,7C1B0117DD53,7036,5889,21469,
26/11/2020 08:44:30.125,2950,TAI_400 @B73477,31332,691B1017D753,7017,5904,21463,
26/11/2020 08:44:30.174,2999,TAI_400 @B73477,31339,781B1017CE53,7032,5904,21454,
26/11/2020 08:44:30.223,3048,TAI_400 @B73477,31345,721B0217E353,7026,5890,21475,
26/11/2020 08:44:30.272,3097,TAI_400 @B73477,31351,721B1317D653,7026,5907,21462,
26/11/2020 08:44:30.321,3146,TAI_400 @B73477,31357,7E1B0217D353,7038,5890,21459,
26/11/2020 08:44:30.370,3195,TAI_400 @B73477,31364,6C1B0117D653,7020,5889,21462,
26/11/2020 08:44:30.418,3243,TAI_400 @B73477,31370,9A1BFC16D753,7066,5884,21463,
26/11/2020 08:44:30.468,3293,TAI_400 @B73477,31376,821BFC16D953,7042,5884,21465,
26/11/2020 08:44:30.516,3341,TAI_400 @B73477,31382,7B1BF816DF53,7035,5880,21471,
26/11/2020 08:44:30.565,3390,TAI_400 @B73477,31389,961BFE16D753,7062,5886,21463,
26/11/2020 08:44:30.613,3438,TAI_400 @B73477,31395,791BFF16DA53,7033,5887,21466,
26/11/2020 08:44:30.662,3487,TAI_400 @B73477,31401,6C1B1617D753,7020,5910,21463,
26/11/2020 08:44:30.710,3535,TAI_400 @B73477,31407,791B0717CB53,7033,5895,21451,
26/11/2020 08:44:30.759,3584,TAI_400 @B73477,31414,611B0817E253,7009,5896,21474,
26/11/2020 08:44:30.808,3633,TAI_400 @B73477,31420,691B1117D653,7017,5905,21462,
26/11/2020 08:44:30.856,3681,TAI_400 @B73477,31426,791B0717D353,7033,5895,21459,
26/11/2020 08:44:30.906,3731,TAI_400 @B73477,31432,791BFB16D953,7033,5883,21465,
26/11/2020 08:44:30.955,3780,TAI_400 @B73477,31439,911B0717D653,7057,5895,21462,
26/11/2020 08:44:31.003,3828,TAI_400 @B73477,31445,811B0117D753,7041,5889,21463,
26/11/2020 08:44:31.052,3877,TAI_400 @B73477,31451,781B0217DA53,7032,5890,21466,
26/11/2020 08:44:31.101,3926,TAI_400 @B73477,31457,911B0117D753,7057,5889,21463,
26/11/2020 08:44:31.198,4023,TAI_400 @B73477,31464,731B0117D753,7027,5889,21463,
26/11/2020 08:44:31.247,4072,TAI_400 @B73477,31470,5A1B0D17DF53,7002,5901,21471,
26/11/2020 08:44:31.295,4120,TAI_400 @B73477,31476,851BF916D953,7045,5881,21465,
26/11/2020 08:44:31.344,4169,TAI_400 @B73477,31482,5D1B0117D653,7005,5889,21462,
26/11/2020 08:44:31.393,4218,TAI_400 @B73477,31489,6A1B1317D453,7018,5907,21460,
26/11/2020 08:44:31.442,4267,TAI_400 @B73477,31495,7B1BF816D353,7035,5880,21459,
26/11/2020 08:44:31.490,4315,TAI_400 @B73477,31501,791BF316D753,7033,5875,21463,
26/11/2020 08:44:31.539,4364,TAI_400 @B73477,31507,821BFE16CE53,7042,5886,21454,
26/11/2020 08:44:31.588,4413,TAI_400 @B73477,31514,7B1B0717D953,7035,5895,21465,
26/11/2020 08:44:31.636,4461,TAI_400 @B73477,31520,821BF816DC53,7042,5880,21468,
26/11/2020 08:44:31.686,4511,TAI_400 @B73477,31526,901B0717D753,7056,5895,21463,
26/11/2020 08:44:31.735,4560,TAI_400 @B73477,31532,661BFF16D053,7014,5887,21456,
26/11/2020 08:44:31.784,4609,TAI_400 @B73477,31539,5E1B0A17DA53,7006,5898,21466,
26/11/2020 08:44:31.832,4657,TAI_400 @B73477,31545,841BF916D653,7044,5881,21462,
26/11/2020 08:44:31.881,4706,TAI_400 @B73477,31551,691BFC16D653,7017,5884,21462,
26/11/2020 08:44:31.930,4755,TAI_400 @B73477,31557,6D1B0E17D453,7021,5902,21460,
26/11/2020 08:44:31.979,4804,TAI_400 @B73477,31564,911BFC16D453,7057,5884,21460,
26/11/2020 08:44:32.027,4852,TAI_400 @B73477,31570,7E1BF516E353,7038,5877,21475,
