Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
20/10/2020 10:33:54.781,4,TAI_400 @B73477,5632,1800DDFFEC03,24,-35,1004,
20/10/2020 10:33:54.828,51,TAI_400 @B73477,5639,2200E1FFF503,34,-31,1013,
20/10/2020 10:33:54.878,100,TAI_400 @B73477,5645,1E00DEFFF003,30,-34,1008,
20/10/2020 10:33:54.926,149,TAI_400 @B73477,5651,1600E3FFEC03,22,-29,1004,
20/10/2020 10:33:55.023,246,TAI_400 @B73477,5657,1700DCFFF903,23,-36,1017,
20/10/2020 10:33:55.073,296,TAI_400 @B73477,5664,1900DBFFF403,25,-37,1012,
20/10/2020 10:33:55.122,344,TAI_400 @B73477,5670,2500DFFFF103,37,-33,1009,
20/10/2020 10:33:55.170,393,TAI_400 @B73477,5676,1C00DEFFF603,28,-34,1014,
20/10/2020 10:33:55.218,441,TAI_400 @B73477,5682,2800D2FFF003,40,-46,1008,
20/10/2020 10:33:55.268,491,TAI_400 @B73477,5689,1C00E8FFF203,28,-24,1010,
20/10/2020 10:33:55.316,539,TAI_400 @B73477,5695,1C00E1FFF803,28,-31,1016,
20/10/2020 10:33:55.365,588,TAI_400 @B73477,5701,1600D6FFEE03,22,-42,1006,
20/10/2020 10:33:55.415,638,TAI_400 @B73477,5707,2100D6FFF503,33,-42,1013,
20/10/2020 10:33:55.462,685,TAI_400 @B73477,5714,1E00DEFFF803,30,-34,1016,
20/10/2020 10:33:55.511,734,TAI_400 @B73477,5720,1F00DBFFF103,31,-37,1009,
20/10/2020 10:33:55.560,783,TAI_400 @B73477,5726,2200DFFFED03,34,-33,1005,
20/10/2020 10:33:55.608,831,TAI_400 @B73477,5732,1400E1FF0304,20,-31,1027,
20/10/2020 10:33:55.658,881,TAI_400 @B73477,5739,2100D9FFF203,33,-39,1010,
20/10/2020 10:33:55.706,929,TAI_400 @B73477,5745,2200E6FFF303,34,-26,1011,
20/10/2020 10:33:55.754,977,TAI_400 @B73477,5751,1100DBFFF903,17,-37,1017,
20/10/2020 10:33:55.803,1026,TAI_400 @B73477,5757,2000E4FFF103,32,-28,1009,
20/10/2020 10:33:55.852,1075,TAI_400 @B73477,5764,1C00E0FFF903,28,-32,1017,
20/10/2020 10:33:55.901,1124,TAI_400 @B73477,5770,1B00DCFFF403,27,-36,1012,
20/10/2020 10:33:55.950,1172,TAI_400 @B73477,5776,2100D8FFF603,33,-40,1014,
20/10/2020 10:33:55.999,1222,TAI_400 @B73477,5782,1A00D8FFFD03,26,-40,1021,
20/10/2020 10:33:56.048,1271,TAI_400 @B73477,5789,1900E2FFF803,25,-30,1016,
20/10/2020 10:33:56.145,1368,TAI_400 @B73477,5795,1F00DEFFF203,31,-34,1010,
20/10/2020 10:33:56.194,1417,TAI_400 @B73477,5801,1400D5FFFE03,20,-43,1022,
20/10/2020 10:33:56.242,1465,TAI_400 @B73477,5807,2300DDFFF003,35,-35,1008,
20/10/2020 10:33:56.291,1514,TAI_400 @B73477,5814,1600D7FFFB03,22,-41,1019,
20/10/2020 10:33:56.340,1562,TAI_400 @B73477,5820,1E00E2FF0204,30,-30,1026,
20/10/2020 10:33:56.389,1611,TAI_400 @B73477,5826,2200DEFFF303,34,-34,1011,
20/10/2020 10:33:56.438,1660,TAI_400 @B73477,5832,2000DAFFFB03,32,-38,1019,
20/10/2020 10:33:56.486,1709,TAI_400 @B73477,5839,2100E5FFF003,33,-27,1008,
20/10/2020 10:33:56.535,1758,TAI_400 @B73477,5845,2100DFFFF903,33,-33,1017,
20/10/2020 10:33:56.584,1807,TAI_400 @B73477,5851,1400D7FFF503,20,-41,1013,
20/10/2020 10:33:56.633,1856,TAI_400 @B73477,5857,1700E9FFED03,23,-23,1005,
20/10/2020 10:33:56.681,1904,TAI_400 @B73477,5864,2200E1FFFA03,34,-31,1018,
20/10/2020 10:33:56.731,1954,TAI_400 @B73477,5870,1C00DDFFF403,28,-35,1012,
20/10/2020 10:33:56.778,2001,TAI_400 @B73477,5876,1900E6FFF203,25,-26,1010,
20/10/2020 10:33:56.827,2050,TAI_400 @B73477,5882,1D00DAFFF803,29,-38,1016,
20/10/2020 10:33:56.876,2099,TAI_400 @B73477,5889,1500D8FFF003,21,-40,1008,
20/10/2020 10:33:56.925,2148,TAI_400 @B73477,5895,1D00E1FFEE03,29,-31,1006,
20/10/2020 10:33:56.974,2197,TAI_400 @B73477,5901,2000E3FF0204,32,-29,1026,
20/10/2020 10:33:57.023,2246,TAI_400 @B73477,5907,1900DEFFFA03,25,-34,1018,
20/10/2020 10:33:57.071,2294,TAI_400 @B73477,5914,1800E1FFFD03,24,-31,1021,
20/10/2020 10:33:57.120,2343,TAI_400 @B73477,5920,1B00DDFFFA03,27,-35,1018,
20/10/2020 10:33:57.169,2392,TAI_400 @B73477,5926,1E00DDFFF103,30,-35,1009,
20/10/2020 10:33:57.218,2441,TAI_400 @B73477,5932,2900E2FF0004,41,-30,1024,
20/10/2020 10:33:57.316,2539,TAI_400 @B73477,5939,2400D9FFF903,36,-39,1017,
20/10/2020 10:33:57.363,2586,TAI_400 @B73477,5945,2000E2FFF503,32,-30,1013,
20/10/2020 10:33:57.413,2635,TAI_400 @B73477,5951,2000DEFFF503,32,-34,1013,
20/10/2020 10:33:57.462,2685,TAI_400 @B73477,5957,1C00DCFFF703,28,-36,1015,
20/10/2020 10:33:57.510,2733,TAI_400 @B73477,5964,1E00D9FFF303,30,-39,1011,
20/10/2020 10:33:57.559,2782,TAI_400 @B73477,5970,2400E4FFFB03,36,-28,1019,
20/10/2020 10:33:57.607,2830,TAI_400 @B73477,5976,1400D8FFFC03,20,-40,1020,
