Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
20/10/2020 17:49:29.902,46,TAI_400 @B73477,121725,2600D8FFFF03,38,-40,1023,
20/10/2020 17:49:29.951,95,TAI_400 @B73477,121731,1200DCFFF803,18,-36,1016,
20/10/2020 17:49:30.000,144,TAI_400 @B73477,121738,2000E9FFED03,32,-23,1005,
20/10/2020 17:49:30.048,192,TAI_400 @B73477,121744,2A00D5FFFA03,42,-43,1018,
20/10/2020 17:49:30.097,241,TAI_400 @B73477,121750,1D00E7FFED03,29,-25,1005,
20/10/2020 17:49:30.146,290,TAI_400 @B73477,121756,2000E0FFF203,32,-32,1010,
20/10/2020 17:49:30.196,340,TAI_400 @B73477,121763,1400E0FFF103,20,-32,1009,
20/10/2020 17:49:30.244,388,TAI_400 @B73477,121769,1400DFFFF003,20,-33,1008,
20/10/2020 17:49:30.295,438,TAI_400 @B73477,121775,2200DFFFED03,34,-33,1005,
20/10/2020 17:49:30.342,486,TAI_400 @B73477,121781,1900D8FFE803,25,-40,1000,
20/10/2020 17:49:30.390,534,TAI_400 @B73477,121788,1A00E7FFF003,26,-25,1008,
20/10/2020 17:49:30.487,631,TAI_400 @B73477,121794,1B00DDFF0304,27,-35,1027,
20/10/2020 17:49:30.537,681,TAI_400 @B73477,121800,1900DBFFF803,25,-37,1016,
20/10/2020 17:49:30.585,729,TAI_400 @B73477,121806,2300E4FFE803,35,-28,1000,
20/10/2020 17:49:30.634,778,TAI_400 @B73477,121813,2000DAFF0004,32,-38,1024,
20/10/2020 17:49:30.682,826,TAI_400 @B73477,121819,0900E2FF0204,9,-30,1026,
20/10/2020 17:49:30.731,875,TAI_400 @B73477,121825,1F00E2FFF003,31,-30,1008,
20/10/2020 17:49:30.780,924,TAI_400 @B73477,121831,1D00DAFFFF03,29,-38,1023,
20/10/2020 17:49:30.829,973,TAI_400 @B73477,121838,0900ECFFFE03,9,-20,1022,
20/10/2020 17:49:30.879,1023,TAI_400 @B73477,121844,2600D8FFED03,38,-40,1005,
20/10/2020 17:49:30.925,1069,TAI_400 @B73477,121850,1A00D8FFFB03,26,-40,1019,
20/10/2020 17:49:30.975,1119,TAI_400 @B73477,121856,1B00E2FFF303,27,-30,1011,
20/10/2020 17:49:31.025,1169,TAI_400 @B73477,121863,2100D8FFF403,33,-40,1012,
20/10/2020 17:49:31.073,1217,TAI_400 @B73477,121869,1100D9FFFE03,17,-39,1022,
20/10/2020 17:49:31.121,1265,TAI_400 @B73477,121875,1E00E3FFF803,30,-29,1016,
20/10/2020 17:49:31.171,1315,TAI_400 @B73477,121881,2100D7FFF903,33,-41,1017,
20/10/2020 17:49:31.219,1363,TAI_400 @B73477,121888,1A00DDFFF403,26,-35,1012,
20/10/2020 17:49:31.268,1412,TAI_400 @B73477,121894,2000E6FFF103,32,-26,1009,
20/10/2020 17:49:31.317,1461,TAI_400 @B73477,121900,2000D4FF0104,32,-44,1025,
20/10/2020 17:49:31.365,1509,TAI_400 @B73477,121906,1200E4FFEF03,18,-28,1007,
20/10/2020 17:49:31.414,1558,TAI_400 @B73477,121913,1600E4FFF503,22,-28,1013,
20/10/2020 17:49:31.462,1606,TAI_400 @B73477,121919,1D00D2FFF703,29,-46,1015,
20/10/2020 17:49:31.511,1655,TAI_400 @B73477,121925,1100E1FFFA03,17,-31,1018,
20/10/2020 17:49:31.609,1753,TAI_400 @B73477,121931,2300DDFFF603,35,-35,1014,
20/10/2020 17:49:31.658,1802,TAI_400 @B73477,121938,1600D7FFF603,22,-41,1014,
20/10/2020 17:49:31.706,1850,TAI_400 @B73477,121944,1E00E3FFEE03,30,-29,1006,
20/10/2020 17:49:31.755,1899,TAI_400 @B73477,121950,2400DBFFF803,36,-37,1016,
20/10/2020 17:49:31.803,1947,TAI_400 @B73477,121956,1C00E8FFFB03,28,-24,1019,
20/10/2020 17:49:31.853,1997,TAI_400 @B73477,121963,1500E6FFFE03,21,-26,1022,
20/10/2020 17:49:31.901,2045,TAI_400 @B73477,121969,1C00D8FF0304,28,-40,1027,
20/10/2020 17:49:31.949,2093,TAI_400 @B73477,121975,0D00DEFFF403,13,-34,1012,
20/10/2020 17:49:31.999,2143,TAI_400 @B73477,121981,1B00E9FFFA03,27,-23,1018,
20/10/2020 17:49:32.048,2192,TAI_400 @B73477,121988,1B00D2FFF903,27,-46,1017,
20/10/2020 17:49:32.096,2240,TAI_400 @B73477,121994,1100E6FFF203,17,-26,1010,
20/10/2020 17:49:32.146,2290,TAI_400 @B73477,122000,1E00DAFFF403,30,-38,1012,
20/10/2020 17:49:32.195,2339,TAI_400 @B73477,122006,1E00D5FFF703,30,-43,1015,
