Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
20/10/2020 17:49:29.902,46,TAI_400 @B73477,121725,EA1969156054,6634,5481,21600,
20/10/2020 17:49:29.951,95,TAI_400 @B73477,121731,B41958156454,6580,5464,21604,
20/10/2020 17:49:30.000,144,TAI_400 @B73477,121738,C21957156454,6594,5463,21604,
20/10/2020 17:49:30.048,192,TAI_400 @B73477,121744,F9195A156154,6649,5466,21601,
20/10/2020 17:49:30.097,241,TAI_400 @B73477,121750,E41955156354,6628,5461,21603,
20/10/2020 17:49:30.146,290,TAI_400 @B73477,121756,C01972156754,6592,5490,21607,
20/10/2020 17:49:30.196,340,TAI_400 @B73477,121763,FE1957156C54,6654,5463,21612,
20/10/2020 17:49:30.244,388,TAI_400 @B73477,121769,C91957156154,6601,5463,21601,
20/10/2020 17:49:30.295,439,TAI_400 @B73477,121775,B7196C156654,6583,5484,21606,
20/10/2020 17:49:30.342,486,TAI_400 @B73477,121781,D41955156654,6612,5461,21606,
20/10/2020 17:49:30.390,534,TAI_400 @B73477,121788,DA194F156054,6618,5455,21600,
20/10/2020 17:49:30.487,631,TAI_400 @B73477,121794,F21964156054,6642,5476,21600,
20/10/2020 17:49:30.537,681,TAI_400 @B73477,121800,D4194E155D54,6612,5454,21597,
20/10/2020 17:49:30.585,729,TAI_400 @B73477,121806,CF194F156054,6607,5455,21600,
20/10/2020 17:49:30.634,778,TAI_400 @B73477,121813,E91960155854,6633,5472,21592,
20/10/2020 17:49:30.683,827,TAI_400 @B73477,121819,C3195E155E54,6595,5470,21598,
20/10/2020 17:49:30.731,875,TAI_400 @B73477,121825,AE1969156054,6574,5481,21600,
20/10/2020 17:49:30.780,924,TAI_400 @B73477,121831,EA1960156054,6634,5472,21600,
20/10/2020 17:49:30.829,973,TAI_400 @B73477,121838,A11955156054,6561,5461,21600,
20/10/2020 17:49:30.879,1023,TAI_400 @B73477,121844,CB1961157054,6603,5473,21616,
20/10/2020 17:49:30.925,1069,TAI_400 @B73477,121850,FC194E155D54,6652,5454,21597,
20/10/2020 17:49:30.975,1119,TAI_400 @B73477,121856,CF1957156154,6607,5463,21601,
20/10/2020 17:49:31.025,1169,TAI_400 @B73477,121863,CC1966155E54,6604,5478,21598,
20/10/2020 17:49:31.073,1217,TAI_400 @B73477,121869,EC1952156154,6636,5458,21601,
20/10/2020 17:49:31.121,1265,TAI_400 @B73477,121875,C8195E156454,6600,5470,21604,
20/10/2020 17:49:31.171,1315,TAI_400 @B73477,121881,CB196A156454,6603,5482,21604,
20/10/2020 17:49:31.219,1363,TAI_400 @B73477,121888,D2194E156754,6610,5454,21607,
20/10/2020 17:49:31.268,1412,TAI_400 @B73477,121894,E31954156454,6627,5460,21604,
20/10/2020 17:49:31.317,1461,TAI_400 @B73477,121900,E61964156654,6630,5476,21606,
20/10/2020 17:49:31.365,1509,TAI_400 @B73477,121906,CF194B155754,6607,5451,21591,
20/10/2020 17:49:31.414,1558,TAI_400 @B73477,121913,E4195A156754,6628,5466,21607,
20/10/2020 17:49:31.462,1606,TAI_400 @B73477,121919,ED195D156154,6637,5469,21601,
20/10/2020 17:49:31.511,1655,TAI_400 @B73477,121925,AE195D155B54,6574,5469,21595,
20/10/2020 17:49:31.609,1753,TAI_400 @B73477,121931,D11964156654,6609,5476,21606,
20/10/2020 17:49:31.658,1802,TAI_400 @B73477,121938,CC195E156154,6604,5470,21601,
20/10/2020 17:49:31.706,1850,TAI_400 @B73477,121944,A51961156154,6565,5473,21601,
20/10/2020 17:49:31.755,1899,TAI_400 @B73477,121950,ED195B156C54,6637,5467,21612,
20/10/2020 17:49:31.804,1948,TAI_400 @B73477,121956,E61945156154,6630,5445,21601,
20/10/2020 17:49:31.853,1997,TAI_400 @B73477,121963,CE1964155A54,6606,5476,21594,
20/10/2020 17:49:31.901,2045,TAI_400 @B73477,121969,D8196D156454,6616,5485,21604,
20/10/2020 17:49:31.949,2094,TAI_400 @B73477,121975,DB1952155E54,6619,5458,21598,
20/10/2020 17:49:31.999,2143,TAI_400 @B73477,121981,C6196A156454,6598,5482,21604,
20/10/2020 17:49:32.048,2192,TAI_400 @B73477,121988,CB1960156954,6603,5472,21609,
20/10/2020 17:49:32.097,2241,TAI_400 @B73477,121994,B6194B156154,6582,5451,21601,
20/10/2020 17:49:32.146,2290,TAI_400 @B73477,122000,F3195E155B54,6643,5470,21595,
20/10/2020 17:49:32.195,2339,TAI_400 @B73477,122006,EF1958156054,6639,5464,21600,
20/10/2020 17:49:32.244,2388,TAI_400 @B73477,122013,D8194F156354,6616,5455,21603,
20/10/2020 17:49:32.291,2435,TAI_400 @B73477,122019,F81960156A54,6648,5472,21610,
20/10/2020 17:49:32.340,2484,TAI_400 @B73477,122025,D71960156054,6615,5472,21600,
20/10/2020 17:49:32.389,2533,TAI_400 @B73477,122031,AA1961156754,6570,5473,21607,
20/10/2020 17:49:32.437,2581,TAI_400 @B73477,122038,E91963156654,6633,5475,21606,
20/10/2020 17:49:32.486,2630,TAI_400 @B73477,122044,F01951156454,6640,5457,21604,
20/10/2020 17:49:32.535,2679,TAI_400 @B73477,122050,B41963156954,6580,5475,21609,
20/10/2020 17:49:32.584,2728,TAI_400 @B73477,122056,FE1952156154,6654,5458,21601,
20/10/2020 17:49:32.633,2777,TAI_400 @B73477,122063,DB1954155B54,6619,5460,21595,
20/10/2020 17:49:32.682,2826,TAI_400 @B73477,122069,D5196D156354,6613,5485,21603,
20/10/2020 17:49:32.778,2922,TAI_400 @B73477,122075,D7195D156154,6615,5469,21601,
20/10/2020 17:49:32.830,2974,TAI_400 @B73477,122081,CC194F155454,6604,5455,21588,
20/10/2020 17:49:32.878,3022,TAI_400 @B73477,122088,CE1972156054,6606,5490,21600,
20/10/2020 17:49:32.927,3071,TAI_400 @B73477,122094,C0195D156454,6592,5469,21604,
20/10/2020 17:49:32.974,3118,TAI_400 @B73477,122100,CF1954156354,6607,5460,21603,
20/10/2020 17:49:33.022,3166,TAI_400 @B73477,122106,111A61156354,6673,5473,21603,
20/10/2020 17:49:33.071,3215,TAI_400 @B73477,122113,DA1958156054,6618,5464,21600,
20/10/2020 17:49:33.120,3264,TAI_400 @B73477,122119,E01957156354,6624,5463,21603,
20/10/2020 17:49:33.169,3313,TAI_400 @B73477,122125,F81957155D54,6648,5463,21597,
20/10/2020 17:49:33.218,3362,TAI_400 @B73477,122131,BD1954155E54,6589,5460,21598,
20/10/2020 17:49:33.268,3412,TAI_400 @B73477,122138,BF1966156654,6591,5478,21606,
20/10/2020 17:49:33.315,3459,TAI_400 @B73477,122144,EF1951156154,6639,5457,21601,
20/10/2020 17:49:33.364,3508,TAI_400 @B73477,122150,DB194C156054,6619,5452,21600,
20/10/2020 17:49:33.413,3557,TAI_400 @B73477,122156,C01966156754,6592,5478,21607,
20/10/2020 17:49:33.463,3607,TAI_400 @B73477,122163,F01945156654,6640,5445,21606,
20/10/2020 17:49:33.511,3655,TAI_400 @B73477,122169,D5195A156054,6613,5466,21600,
20/10/2020 17:49:33.559,3703,TAI_400 @B73477,122175,E0196D156754,6624,5485,21607,
20/10/2020 17:49:33.607,3751,TAI_400 @B73477,122181,CC195A156754,6604,5466,21607,
20/10/2020 17:49:33.656,3800,TAI_400 @B73477,122188,C51958155A54,6597,5464,21594,
20/10/2020 17:49:33.705,3849,TAI_400 @B73477,122194,DD1967156354,6621,5479,21603,
20/10/2020 17:49:33.754,3898,TAI_400 @B73477,122200,C01952156354,6592,5458,21603,
20/10/2020 17:49:33.803,3947,TAI_400 @B73477,122206,E4195B156754,6628,5467,21607,
20/10/2020 17:49:33.900,4044,TAI_400 @B73477,122213,FF195E155E54,6655,5470,21598,
20/10/2020 17:49:33.950,4094,TAI_400 @B73477,122219,B6195D156154,6582,5469,21601,
20/10/2020 17:49:33.998,4142,TAI_400 @B73477,122225,F8195A156C54,6648,5466,21612,
20/10/2020 17:49:34.046,4190,TAI_400 @B73477,122231,EF1958156754,6639,5464,21607,
20/10/2020 17:49:34.094,4238,TAI_400 @B73477,122238,AE196D156054,6574,5485,21600,
20/10/2020 17:49:34.143,4287,TAI_400 @B73477,122244,D51967156354,6613,5479,21603,
20/10/2020 17:49:34.193,4337,TAI_400 @B73477,122250,EF1952156054,6639,5458,21600,
20/10/2020 17:49:34.241,4385,TAI_400 @B73477,122256,D5195A155A54,6613,5466,21594,
20/10/2020 17:49:34.290,4434,TAI_400 @B73477,122263,F31952156954,6643,5458,21609,
20/10/2020 17:49:34.339,4483,TAI_400 @B73477,122269,E91948155D54,6633,5448,21597,
20/10/2020 17:49:34.388,4532,TAI_400 @B73477,122275,CF1964155D54,6607,5476,21597,
20/10/2020 17:49:34.437,4581,TAI_400 @B73477,122281,E1196D156454,6625,5485,21604,
20/10/2020 17:49:34.485,4629,TAI_400 @B73477,122288,C2195B156354,6594,5467,21603,
20/10/2020 17:49:34.534,4678,TAI_400 @B73477,122294,D8195D155E54,6616,5469,21598,
20/10/2020 17:49:34.583,4727,TAI_400 @B73477,122300,CB1960155D54,6603,5472,21597,
20/10/2020 17:49:34.631,4775,TAI_400 @B73477,122306,B71954155E54,6583,5460,21598,
20/10/2020 17:49:34.680,4824,TAI_400 @B73477,122313,FB195D156354,6651,5469,21603,
20/10/2020 17:49:34.730,4874,TAI_400 @B73477,122319,EA195A156054,6634,5466,21600,
20/10/2020 17:49:34.779,4923,TAI_400 @B73477,122325,A7195D155D54,6567,5469,21597,
20/10/2020 17:49:34.827,4971,TAI_400 @B73477,122331,D81961156654,6616,5473,21606,
20/10/2020 17:49:34.875,5019,TAI_400 @B73477,122338,C9195D155854,6601,5469,21592,
20/10/2020 17:49:34.924,5068,TAI_400 @B73477,122344,B4196A156154,6580,5482,21601,
20/10/2020 17:49:34.973,5117,TAI_400 @B73477,122350,EF195A155D54,6639,5466,21597,
20/10/2020 17:49:35.071,5215,TAI_400 @B73477,122356,DE194F155A54,6622,5455,21594,
