Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
20/10/2020 09:52:09.266,35,TAI_400 @B73477,141481,2100E4FFEE03,33,-28,1006,
20/10/2020 09:52:09.316,85,TAI_400 @B73477,141487,2200D8FFFB03,34,-40,1019,
20/10/2020 09:52:09.364,133,TAI_400 @B73477,141493,1900DDFFF703,25,-35,1015,
20/10/2020 09:52:09.413,182,TAI_400 @B73477,141500,1500EEFF0104,21,-18,1025,
20/10/2020 09:52:09.462,231,TAI_400 @B73477,141506,2100D5FFF903,33,-43,1017,
20/10/2020 09:52:09.510,279,TAI_400 @B73477,141512,1800D9FFF603,24,-39,1014,
20/10/2020 09:52:09.559,328,TAI_400 @B73477,141518,1E00EAFFF503,30,-22,1013,
20/10/2020 09:52:09.608,377,TAI_400 @B73477,141525,1500DAFFF503,21,-38,1013,
20/10/2020 09:52:09.657,426,TAI_400 @B73477,141531,1D00EAFFFB03,29,-22,1019,
20/10/2020 09:52:09.704,473,TAI_400 @B73477,141537,2400DFFFF203,36,-33,1010,
20/10/2020 09:52:09.753,522,TAI_400 @B73477,141543,1900D6FFF303,25,-42,1011,
20/10/2020 09:52:09.803,572,TAI_400 @B73477,141550,1200DBFFEF03,18,-37,1007,
20/10/2020 09:52:09.852,620,TAI_400 @B73477,141556,1A00D7FF0204,26,-41,1026,
20/10/2020 09:52:09.900,669,TAI_400 @B73477,141562,1200DAFFF303,18,-38,1011,
20/10/2020 09:52:09.949,718,TAI_400 @B73477,141568,1D00E7FFF103,29,-25,1009,
20/10/2020 09:52:10.047,816,TAI_400 @B73477,141575,1400D6FFF803,20,-42,1016,
20/10/2020 09:52:10.096,865,TAI_400 @B73477,141581,1400DEFFEE03,20,-34,1006,
20/10/2020 09:52:10.144,913,TAI_400 @B73477,141587,1F00ECFFF703,31,-20,1015,
20/10/2020 09:52:10.193,962,TAI_400 @B73477,141593,1D00D4FFF903,29,-44,1017,
20/10/2020 09:52:10.241,1010,TAI_400 @B73477,141600,1500DFFFFA03,21,-33,1018,
20/10/2020 09:52:10.289,1058,TAI_400 @B73477,141606,1600DCFFF503,22,-36,1013,
20/10/2020 09:52:10.339,1108,TAI_400 @B73477,141612,1D00D6FFF803,29,-42,1016,
20/10/2020 09:52:10.387,1156,TAI_400 @B73477,141618,1000F4FFE103,16,-12,993,
20/10/2020 09:52:10.437,1206,TAI_400 @B73477,141625,1D00D7FFFE03,29,-41,1022,
20/10/2020 09:52:10.487,1256,TAI_400 @B73477,141631,1600D4FFFB03,22,-44,1019,
20/10/2020 09:52:10.534,1303,TAI_400 @B73477,141637,2000DFFFE703,32,-33,999,
20/10/2020 09:52:10.585,1354,TAI_400 @B73477,141643,1C00D9FF0404,28,-39,1028,
20/10/2020 09:52:10.634,1403,TAI_400 @B73477,141650,1000E1FFF503,16,-31,1013,
20/10/2020 09:52:10.680,1449,TAI_400 @B73477,141656,1E00E3FFEB03,30,-29,1003,
20/10/2020 09:52:10.728,1497,TAI_400 @B73477,141662,1F00D5FFF103,31,-43,1009,
20/10/2020 09:52:10.777,1546,TAI_400 @B73477,141668,1600E5FFF703,22,-27,1015,
20/10/2020 09:52:10.827,1596,TAI_400 @B73477,141675,1D00E4FFFA03,29,-28,1018,
20/10/2020 09:52:10.874,1643,TAI_400 @B73477,141681,1000D7FFF703,16,-41,1015,
20/10/2020 09:52:10.924,1693,TAI_400 @B73477,141687,1600E9FFEE03,22,-23,1006,
