Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
20/10/2020 09:52:09.266,35,TAI_400 @B73477,141481,C0196A156D54,6592,5482,21613,
20/10/2020 09:52:09.316,85,TAI_400 @B73477,141487,161A5E157254,6678,5470,21618,
20/10/2020 09:52:09.364,133,TAI_400 @B73477,141493,E6195D156D54,6630,5469,21613,
20/10/2020 09:52:09.413,182,TAI_400 @B73477,141500,B7196D157554,6583,5485,21621,
20/10/2020 09:52:09.462,231,TAI_400 @B73477,141506,D81970157554,6616,5488,21621,
20/10/2020 09:52:09.510,279,TAI_400 @B73477,141512,E31955157354,6627,5461,21619,
20/10/2020 09:52:09.559,328,TAI_400 @B73477,141518,E0195D156F54,6624,5469,21615,
20/10/2020 09:52:09.608,377,TAI_400 @B73477,141525,E9195B157554,6633,5467,21621,
20/10/2020 09:52:09.657,426,TAI_400 @B73477,141531,D81958157254,6616,5464,21618,
20/10/2020 09:52:09.705,474,TAI_400 @B73477,141537,F8196A157054,6648,5482,21616,
20/10/2020 09:52:09.754,523,TAI_400 @B73477,141543,DA1967157054,6618,5479,21616,
20/10/2020 09:52:09.803,572,TAI_400 @B73477,141550,B91964157054,6585,5476,21616,
20/10/2020 09:52:09.852,621,TAI_400 @B73477,141556,E41964157B54,6628,5476,21627,
20/10/2020 09:52:09.900,669,TAI_400 @B73477,141562,D11961157254,6609,5473,21618,
20/10/2020 09:52:09.949,718,TAI_400 @B73477,141568,B9196A157054,6585,5482,21616,
20/10/2020 09:52:10.047,816,TAI_400 @B73477,141575,FF1955157054,6655,5461,21616,
20/10/2020 09:52:10.096,865,TAI_400 @B73477,141581,ED1954156C54,6637,5460,21612,
20/10/2020 09:52:10.144,913,TAI_400 @B73477,141587,CB1970157054,6603,5488,21616,
20/10/2020 09:52:10.193,962,TAI_400 @B73477,141593,161A5A156954,6678,5466,21609,
20/10/2020 09:52:10.242,1011,TAI_400 @B73477,141600,D41958156A54,6612,5464,21610,
20/10/2020 09:52:10.290,1059,TAI_400 @B73477,141606,CB1979157354,6603,5497,21619,
20/10/2020 09:52:10.339,1108,TAI_400 @B73477,141612,E3195E157554,6627,5470,21621,
20/10/2020 09:52:10.387,1156,TAI_400 @B73477,141618,D41955156F54,6612,5461,21615,
20/10/2020 09:52:10.437,1206,TAI_400 @B73477,141625,F31960157654,6643,5472,21622,
20/10/2020 09:52:10.488,1257,TAI_400 @B73477,141631,DD1958157854,6621,5464,21624,
20/10/2020 09:52:10.534,1303,TAI_400 @B73477,141637,E11958157254,6625,5464,21618,
20/10/2020 09:52:10.585,1354,TAI_400 @B73477,141643,F9196A157054,6649,5482,21616,
20/10/2020 09:52:10.634,1403,TAI_400 @B73477,141650,BF1958157654,6591,5464,21622,
20/10/2020 09:52:10.680,1449,TAI_400 @B73477,141656,B6196D157254,6582,5485,21618,
20/10/2020 09:52:10.729,1498,TAI_400 @B73477,141662,F3195B157254,6643,5467,21618,
