Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
03/12/2020 12:44:36.810,68,TAI_400 @B73477,84852,D5FFE2FFFE03,-43,-30,1022,
03/12/2020 12:44:36.859,117,TAI_400 @B73477,84858,D4FF0A00F003,-44,10,1008,
03/12/2020 12:44:36.907,165,TAI_400 @B73477,84864,CEFFD7FFFB03,-50,-41,1019,
03/12/2020 12:44:36.957,215,TAI_400 @B73477,84870,EAFF0900EA03,-22,9,1002,
03/12/2020 12:44:37.004,262,TAI_400 @B73477,84877,D4FFECFFF903,-44,-20,1017,
03/12/2020 12:44:37.053,311,TAI_400 @B73477,84883,E3FF0B00F503,-29,11,1013,
03/12/2020 12:44:37.102,360,TAI_400 @B73477,84889,CEFFE4FFF503,-50,-28,1013,
03/12/2020 12:44:37.151,409,TAI_400 @B73477,84895,DCFFFFFFFC03,-36,-1,1020,
03/12/2020 12:44:37.248,506,TAI_400 @B73477,84902,CFFFEAFFFA03,-49,-22,1018,
03/12/2020 12:44:37.249,507,TAI_400 @B73477,84908,DEFF0500F303,-34,5,1011,
03/12/2020 12:44:37.298,556,TAI_400 @B73477,84914,C5FFE6FFF403,-59,-26,1012,
03/12/2020 12:44:37.347,605,TAI_400 @B73477,84920,F3FFF3FFFE03,-13,-13,1022,
03/12/2020 12:44:37.395,653,TAI_400 @B73477,84927,C0FFFAFFE903,-64,-6,1001,
03/12/2020 12:44:37.444,702,TAI_400 @B73477,84933,F2FFF9FF0B04,-14,-7,1035,
03/12/2020 12:44:37.492,750,TAI_400 @B73477,84939,D2FF0800F303,-46,8,1011,
03/12/2020 12:44:37.541,799,TAI_400 @B73477,84945,E0FFE9FF0004,-32,-23,1024,
03/12/2020 12:44:37.590,848,TAI_400 @B73477,84952,C6FF0D00F803,-58,13,1016,
03/12/2020 12:44:37.639,897,TAI_400 @B73477,84958,E2FFD8FFFA03,-30,-40,1018,
03/12/2020 12:44:37.687,945,TAI_400 @B73477,84964,DBFF0900F403,-37,9,1012,
03/12/2020 12:44:37.736,994,TAI_400 @B73477,84970,DCFFE2FFFA03,-36,-30,1018,
03/12/2020 12:44:37.785,1043,TAI_400 @B73477,84977,D9FF0800EE03,-39,8,1006,
03/12/2020 12:44:37.834,1092,TAI_400 @B73477,84983,CCFFE5FFFB03,-52,-27,1019,
03/12/2020 12:44:37.883,1141,TAI_400 @B73477,84989,DEFF05000004,-34,5,1024,
03/12/2020 12:44:37.980,1238,TAI_400 @B73477,84995,CAFFDCFFFD03,-54,-36,1021,
03/12/2020 12:44:38.029,1287,TAI_400 @B73477,85002,DEFF0C00FF03,-34,12,1023,
03/12/2020 12:44:38.077,1335,TAI_400 @B73477,85008,C4FFECFFF403,-60,-20,1012,
03/12/2020 12:44:38.126,1384,TAI_400 @B73477,85014,EBFF0400F503,-21,4,1013,
03/12/2020 12:44:38.175,1433,TAI_400 @B73477,85020,B0FFF4FFF703,-80,-12,1015,
03/12/2020 12:44:38.224,1482,TAI_400 @B73477,85027,F9FFEFFFFB03,-7,-17,1019,
03/12/2020 12:44:38.273,1531,TAI_400 @B73477,85033,C0FF0300F903,-64,3,1017,
03/12/2020 12:44:38.321,1579,TAI_400 @B73477,85039,EBFFFAFF0D04,-21,-6,1037,
03/12/2020 12:44:38.370,1628,TAI_400 @B73477,85045,C4FFF2FFFD03,-60,-14,1021,
03/12/2020 12:44:38.419,1677,TAI_400 @B73477,85052,D6FFE9FF0004,-42,-23,1024,
03/12/2020 12:44:38.468,1726,TAI_400 @B73477,85058,CAFF1000F503,-54,16,1013,
03/12/2020 12:44:38.516,1774,TAI_400 @B73477,85064,E1FFEAFFF603,-31,-22,1014,
03/12/2020 12:44:38.565,1823,TAI_400 @B73477,85070,D1FF0400E303,-47,4,995,
03/12/2020 12:44:38.614,1872,TAI_400 @B73477,85077,D5FFDBFFE703,-43,-37,999,
03/12/2020 12:44:38.662,1920,TAI_400 @B73477,85083,DDFF0800EC03,-35,8,1004,
