Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
03/12/2020 12:51:14.415,35,TAI_400 @B73477,68551,C3FFFEFFF103,-61,-2,1009,
03/12/2020 12:51:14.464,84,TAI_400 @B73477,68557,E3FFFBFFFB03,-29,-5,1019,
03/12/2020 12:51:14.512,132,TAI_400 @B73477,68563,C5FFF5FFEE03,-59,-11,1006,
03/12/2020 12:51:14.562,182,TAI_400 @B73477,68570,F2FFEBFFF503,-14,-21,1013,
03/12/2020 12:51:14.610,230,TAI_400 @B73477,68576,D2FF1000E103,-46,16,993,
03/12/2020 12:51:14.709,329,TAI_400 @B73477,68582,E5FFEFFFFD03,-27,-17,1021,
03/12/2020 12:51:14.757,377,TAI_400 @B73477,68588,CEFF1700E903,-50,23,1001,
03/12/2020 12:51:14.805,425,TAI_400 @B73477,68595,D1FFDDFFFB03,-47,-35,1019,
03/12/2020 12:51:14.854,474,TAI_400 @B73477,68601,CFFF1200FD03,-49,18,1021,
03/12/2020 12:51:14.903,523,TAI_400 @B73477,68607,D6FFE9FFFD03,-42,-23,1021,
03/12/2020 12:51:14.953,573,TAI_400 @B73477,68613,CFFF0D000204,-49,13,1026,
03/12/2020 12:51:15.001,621,TAI_400 @B73477,68620,C8FFEAFFED03,-56,-22,1005,
03/12/2020 12:51:15.050,670,TAI_400 @B73477,68626,E7FF0D00F603,-25,13,1014,
03/12/2020 12:51:15.098,718,TAI_400 @B73477,68632,BAFFEEFF1104,-70,-18,1041,
03/12/2020 12:51:15.147,767,TAI_400 @B73477,68638,EAFFFFFFFD03,-22,-1,1021,
03/12/2020 12:51:15.197,817,TAI_400 @B73477,68645,CDFFFAFFF203,-51,-6,1010,
03/12/2020 12:51:15.246,866,TAI_400 @B73477,68651,EDFFFAFFF103,-19,-6,1009,
03/12/2020 12:51:15.293,913,TAI_400 @B73477,68657,C7FFEBFFE803,-57,-21,1000,
03/12/2020 12:51:15.341,961,TAI_400 @B73477,68663,E7FFF2FF0004,-25,-14,1024,
03/12/2020 12:51:15.389,1009,TAI_400 @B73477,68670,C5FFFEFFEA03,-59,-2,1002,
03/12/2020 12:51:15.438,1058,TAI_400 @B73477,68676,DDFFF6FF0404,-35,-10,1028,
03/12/2020 12:51:15.487,1107,TAI_400 @B73477,68682,D4FF1200E803,-44,18,1000,
03/12/2020 12:51:15.536,1156,TAI_400 @B73477,68688,E8FFEBFFFC03,-24,-21,1020,
03/12/2020 12:51:15.585,1205,TAI_400 @B73477,68695,DCFF0B00EA03,-36,11,1002,
03/12/2020 12:51:15.634,1254,TAI_400 @B73477,68701,EBFFF0FFF503,-21,-16,1013,
03/12/2020 12:51:15.683,1303,TAI_400 @B73477,68707,C1FF1800F903,-63,24,1017,
03/12/2020 12:51:15.732,1352,TAI_400 @B73477,68713,DDFFE8FFF403,-35,-24,1012,
03/12/2020 12:51:15.781,1401,TAI_400 @B73477,68720,C6FF1A00F603,-58,26,1014,
03/12/2020 12:51:15.828,1448,TAI_400 @B73477,68726,B2FFEDFFF303,-78,-19,1011,
03/12/2020 12:51:15.926,1546,TAI_400 @B73477,68732,F7FF0600F103,-9,6,1009,
03/12/2020 12:51:15.975,1595,TAI_400 @B73477,68738,C2FFEFFFF703,-62,-17,1015,
03/12/2020 12:51:16.024,1644,TAI_400 @B73477,68745,E8FF0A00F903,-24,10,1017,
03/12/2020 12:51:16.073,1693,TAI_400 @B73477,68751,C0FFEEFF0504,-64,-18,1029,
03/12/2020 12:51:16.122,1742,TAI_400 @B73477,68757,E7FF0100FA03,-25,1,1018,
03/12/2020 12:51:16.170,1790,TAI_400 @B73477,68763,C7FFECFFFA03,-57,-20,1018,
03/12/2020 12:51:16.219,1839,TAI_400 @B73477,68770,E3FFEBFF0904,-29,-21,1033,
03/12/2020 12:51:16.268,1888,TAI_400 @B73477,68776,C8FF0100DE03,-56,1,990,
03/12/2020 12:51:16.316,1936,TAI_400 @B73477,68782,E3FFF5FFF703,-29,-11,1015,
03/12/2020 12:51:16.365,1985,TAI_400 @B73477,68788,C3FF0400F303,-61,4,1011,
03/12/2020 12:51:16.414,2034,TAI_400 @B73477,68795,E3FFEBFF0904,-29,-21,1033,
03/12/2020 12:51:16.463,2083,TAI_400 @B73477,68801,D5FF1700F103,-43,23,1009,
03/12/2020 12:51:16.511,2131,TAI_400 @B73477,68807,E1FFE7FF0604,-31,-25,1030,
03/12/2020 12:51:16.611,2230,TAI_400 @B73477,68813,D4FF0B00F503,-44,11,1013,
03/12/2020 12:51:16.611,2231,TAI_400 @B73477,68820,D5FFE6FFF203,-43,-26,1010,
03/12/2020 12:51:16.707,2327,TAI_400 @B73477,68832,DCFFEAFFF503,-36,-22,1013,
03/12/2020 12:51:16.707,2327,TAI_400 @B73477,68826,CDFF0E00FD03,-51,14,1021,
03/12/2020 12:51:16.755,2375,TAI_400 @B73477,68838,02000100F603,2,1,1014,
03/12/2020 12:51:16.804,2424,TAI_400 @B73477,68845,C5FFE7FFEF03,-59,-25,1007,
03/12/2020 12:51:16.855,2475,TAI_400 @B73477,68851,F2FF0300ED03,-14,3,1005,
03/12/2020 12:51:16.902,2522,TAI_400 @B73477,68857,C8FFE8FFF403,-56,-24,1012,
03/12/2020 12:51:16.951,2571,TAI_400 @B73477,68863,CDFF0B000704,-51,11,1031,
03/12/2020 12:51:16.999,2619,TAI_400 @B73477,68870,C3FFFCFFF603,-61,-4,1014,
03/12/2020 12:51:17.096,2716,TAI_400 @B73477,68876,DFFF0C000204,-33,12,1026,
03/12/2020 12:51:17.146,2766,TAI_400 @B73477,68882,C8FFFFFFE703,-56,-1,999,
03/12/2020 12:51:17.194,2814,TAI_400 @B73477,68888,E6FFFDFF0304,-26,-3,1027,
03/12/2020 12:51:17.243,2863,TAI_400 @B73477,68895,C9FF0000F403,-55,0,1012,
03/12/2020 12:51:17.340,2960,TAI_400 @B73477,68901,E8FFF5FFFC03,-24,-11,1020,
03/12/2020 12:51:17.340,2960,TAI_400 @B73477,68907,CFFF0C00F103,-49,12,1009,
03/12/2020 12:51:17.389,3009,TAI_400 @B73477,68913,E3FFEBFF0304,-29,-21,1027,
